뉴스 제목,뉴스 링크,언론사,날짜
"""환경, 성장 두마리 토끼 잡는다""··· 고양시, 환경경영으로 친환경 자족도...",https://www.viva100.com/main/view.php?key=20221215010004726,브릿지경제,2022-12-15
"고양특례시, `건강한 도시만들기'…친환경 자족도시 향해 한걸음",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202212150919246340554,대한경제,2022-12-15
"카카오페이 자산관리, 부동산·가상자산까지 품는다",https://biz.sbs.co.kr/article_hub/20000093885?division=NAVER,SBS Biz,2022-12-15
"고양특례시, 친환경 자족도시에 성큼..",http://www.metroseoul.co.kr/article/20221215500227,메트로신문,2022-12-15
"고양시, `건강한 도시만들기'…친환경 자족도시 향해 한걸음",https://www.straightnews.co.kr/news/articleView.html?idxno=222204,스트레이트뉴스,2022-12-15
[강남구도시관리공단] 거주자우선주차 순환배정자 대상 스마트 공유주차 매뉴...,https://thepublic.kr/news/view/1065583593132851,더퍼블릭,2022-12-15
[잠깐 읽기] MZ세대를 위한 미술품 투자법,https://www.busan.com/view/busan/view.php?code=2022121318160746515,부산일보,2022-12-15
"MS의 정식 디지털 서명 훔친 공격자들, 랜섬웨어 공격과 심스와핑 등에 활용",http://www.boannews.com/media/view.asp?idx=112596&kind=,보안뉴스,2022-12-15
"[판례.zip] 게임서 부정행위 한 직원, 어떤 처벌 받았을까?",https://www.gamemeca.com/mv.php?inflow=naver_s&gid=1690803,게임메카,2022-12-15
"고양특레시, 건강한 도시만들기 아이디어 경진대회 및 기후포럼 개최",https://www.geconomy.co.kr/news/article.html?no=275569,지이코노미,2022-12-15
"고트림 봇넷, 워드프레스와 오픈카트 기반 사이트들 공격 중",http://www.boannews.com/media/view.asp?idx=112593&kind=,보안뉴스,2022-12-15
"“FTX, 자회사부채 숨기려 한국 고객계정 사용”",http://www.munhwa.com/news/view.html?no=2022121501071309287002,문화일보,2022-12-15
"[현지 보고]몰타 이민, 골든비자는 전문 변호사 없이는 신청 불가능",http://www.breaknews.com/938624,브레이크뉴스,2022-12-15
"천하제일사료만의 특별한 고객 성공스토리, 유튜브에서 펼쳐",http://www.aflnews.co.kr/news/articleView.html?idxno=237852,농수축산신문,2022-12-15
"[토큰포스트 오후 브리핑] 美 SEC 위원장 ""미등록 암호화폐 취급 거래소 제재...",https://www.tokenpost.kr/article-116211,토큰포스트,2022-12-15
"프루프포인트, 신원 위협 탐지·대응 기업 일루시브(Ilusive) 인수",https://byline.network/?p=9004111222490732,바이라인네트워크,2022-12-15
"인성디지탈, 클라우드 ID 보안 업체 옥타와 총판 계약",http://www.digitaltoday.co.kr/news/articleView.html?idxno=466778,디지털투데이,2022-12-15
"""FTX, 알라메다 부채 숨기려 '韓' 계정 사용""",http://www.getnews.co.kr/news/articleView.html?idxno=609621,글로벌경제,2022-12-15
"“FTX, ‘한국’ 계정 사용해 알라메다 부채 숨겨”",https://www.joongang.co.kr/article/25125945,중앙일보,2022-12-15
"“FTX, 알라메다 막대한 부채 숨기려 ‘한국’ 계정 사용”",http://news.heraldcorp.com/view.php?ud=20221215000238,헤럴드경제,2022-12-15
"'이태원 참사 막말' 김미나 창원시의원 사퇴 요구 확산...""죄송하다고요"" 진정...",https://www.ajunews.com/view/20221215080345620,아주경제,2022-12-15
"FTX, ‘한국 계정’ 사용해 80억달러 자회사 부채 숨겨",https://biz.chosun.com/international/international_economy/2022/12/15/6Q7D6ZKYPFBTNGPNDFFJKSJ3QU/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈언론사 선정,2022-12-15
"메일플러그, 무제한 용량 그룹웨어 출시",http://www.sentv.co.kr/news/view/640150,서울경제TV,2022-12-15
"[유통가 레이더] ""강추위에 난방비 걱정 늘었다""... 11번가, 단열∙보온용품 ...",http://www.greened.kr/news/articleView.html?idxno=299545,녹색경제신문,2022-12-15
[newsbreak] 청소년 성매매로 번진 ‘다이어트 약’ 대리구매 실태,https://woman.donga.com/3/all/12/3796591/1,여성동아,2022-12-15
"""부정 집행 거의 없었다?""…중기부, '팁스' 운영사 제대로 관리하고 있을까? ...",https://www.hankyung.com/economy/article/202212120105i,한국경제,2022-12-15
"메일플러그, 업무 필수 기능 담은 ‘무제한 용량 그룹웨어’ 출시",https://www.seoul.co.kr/news/newsView.php?id=20221215500041&wlog_tag3=naver,서울신문,2022-12-15
"""FTX, 알라메다 막대한 부채 숨기려 '한국' 계정 사용""",https://imnews.imbc.com/news/2022/world/article/6436450_35680.html,MBC,2022-12-15
"파산한 FTX, 자회사 알라메다 부채 은폐 위해 '한국' 계정 사용했다",http://www.pennmike.com/news/articleView.html?idxno=59281,펜앤드마이크,2022-12-15
"""FTX, 알라메다 막대한 부채 숨기려 '한국' 계정 사용""",https://news.sbs.co.kr/news/endPage.do?news_id=N1007008120&plink=ORI&cooper=NAVER,SBS,2022-12-15
"고양시, `건강한 도시만들기'…친환경 자족도시 향한 행보 확대",http://www.discoverynews.kr/news/articleView.html?idxno=924655,디스커버리뉴스,2022-12-15
"FTX 고위 임원, 한국 계정 사용해 알라메다 거액 부채 숨겨",http://www.g-enews.com/ko-kr/news/article/news_all/202212150915138400c4c55f9b3d_1/article.html,글로벌이코노믹,2022-12-15
"인성디지탈, '옥타'와 디스트리뷰터 계약…클라우드 인증 시장 주도",http://www.datanet.co.kr/news/articleView.html?idxno=179242,데이터넷,2022-12-15
"“FTX, 알라메다 막대한 부채 숨기려 ‘한국’ 계정 사용”",https://news.kbs.co.kr/news/view.do?ncd=5626700&ref=A,KBS,2022-12-15
유형자산･가수금･보증금･예수금 규정 위반 사례,http://www.hapt.co.kr/news/articleView.html?idxno=157423,한국아파트신문,2022-12-15
"""FTX, 알라메다 막대한 부채 숨기려 '한국' 계정 사용""",https://news.sbs.co.kr/news/endPage.do?news_id=N1007008042&plink=ORI&cooper=NAVER,SBS,2022-12-15
[ICT 분야별 평가와 전망] ZTNA로 어디서나 '안전하게',http://www.datanet.co.kr/news/articleView.html?idxno=179241,데이터넷,2022-12-15
"""FTX, 부채 숨기려 '한국' 계정 사용했다""",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202212150048&t=NN,한국경제TV언론사 선정,2022-12-15
"인성디지탈, 클라우드 기반 계정 관리 플랫폼 기업 ‘옥타’와 디스트리뷰터 ...",https://www.ddaily.co.kr/news/article.html?no=253372,디지털데일리,2022-12-15
"'SOUNDCLOUD KING JIMIN' 방탄소년단 지민, 사운드클라우드 ''지민 덕보고 있...",http://www.topstarnews.net/news/articleView.html?idxno=14809351,톱스타뉴스,2022-12-15
"""FTX, 알라메다 막대한 부채 숨기려 '한국' 계정 사용""",https://www.yna.co.kr/view/AKR20221215041100091?input=1195m,연합뉴스언론사 선정,2022-12-15
"방탄소년단 지민, 사운드클라우드 ""지민 덕보고 있다""..글로벌 공식 계정들의...",https://tenasia.hankyung.com/topic/article/2022121572784,텐아시아,2022-12-15
"""PX 좋다"" 셀카 찍어 올린 훈련병…부대 측 ""관리·감독 강화""｜도시락 있슈",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12107178,JTBC언론사 선정,2022-12-15
"이동환 고양특례시장, ""효율적인 환경경영 기반으로 친환경 자족도시 이뤄내겠...",http://www.enewstoday.co.kr/news/articleView.html?idxno=1623242,이뉴스투데이,2022-12-15
[OTT 지각변동]②'짠물 수비' 돌입한 넷플릭스,http://news.bizwatch.co.kr/article/mobile/2022/12/14/0014,비즈니스워치언론사 선정,2022-12-15
[증권소식] 흥국생명 2800억원 유증...태광산업 미참여/옵티머스펀드 '사후수...,https://www.asiatime.co.kr/article/20221215500002,아시아타임즈,2022-12-15
"[월드 e-브리핑] 쿠바, 올해 경제성장률 전망치 절반 수준",http://www.obsnews.co.kr/news/articleView.html?idxno=1377733,OBS,2022-12-14
"[IT이슈] 컴투스 ’서머너즈 워: 크로니클’, 신규 영웅 지역 업데이트 外",http://www.lawissue.co.kr/view.php?ud=202212142054035937204ead0791_12,로이슈,2022-12-14
”막말 논란 김미나 시의원 즉각 사퇴하라“,https://www.pressian.com/pages/articles/2022121416232410107?utm_source=naver&utm_medium=search,프레시안,2022-12-14
"사우디 공략의 핵 네이버클라우드 ""아·태 지역 톱3 도약""",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202212140147&t=NNv,한국경제TV,2022-12-14
"맨유 1200억 윙어, 폐관 수련 돌입...당분간 맨유 떠나 개인 훈련",http://www.interfootball.co.kr/news/articleView.html?idxno=592222,인터풋볼,2022-12-14
"""AI·ML 실사용 가속화"" 델 테크놀로지스, 2023년 주요 IT 전망 발표",https://www.techm.kr/news/articleView.html?idxno=104791,테크M,2022-12-14
삼성·신한·롯데… 단기차입 한도까지 늘리는 보험사,http://www.dt.co.kr/contents.html?article_no=2022121502101363076001&ref=naver,디지털타임스,2022-12-14
"""배달앱·쇼핑몰 악성 후기 지워준다"" 리뷰 삭제 대행업체 실태",http://www.bizhankook.com/article/24889,비즈한국,2022-12-14
2023년 주목해야 할 글로벌 보안 스타트업 16곳,https://www.itworld.co.kr/news/269403,ITWorld,2022-12-14
'K-메타버스' 해외시장 도전···문화·예술·의료에 접목,http://www.sisajournal-e.com/news/articleView.html?idxno=295216,시사저널이코노미,2022-12-14
"금융보안원, '매스스캔 랜섬웨어 위협 분석' 보고서 발간",http://www.itdaily.kr/news/articleView.html?idxno=211773,아이티데일리,2022-12-14
"[오딘: 발할라 라이징] 피로와 부담감 DOWN, 언제 어디서든 원격 플레이! '오...",http://www.inven.co.kr/webzine/news/?news=279831&site=odin,인벤,2022-12-14
2023년 IT Key Word ‘클라우드·제로트러스트·양자·AI’,http://www.boannews.com/media/view.asp?idx=112552&kind=,보안뉴스,2022-12-14
"델 테크놀로지스, 2023년 핵심 IT 기술 전망 발표",https://www.itworld.co.kr/news/269259,ITWorld,2022-12-14
'투자 혹한기'에도 올해를 빛낸 VC 스타들은 누구? [긱스],https://www.hankyung.com/it/article/202212144077i,한국경제,2022-12-14
의료 혁신에도 ‘네이버클라우드’…“이른 시일 내 서비스”,https://byline.network/?p=9004111222490595,바이라인네트워크,2022-12-14
"'큰형님' 엔씨소프트, 오픈 API로 게임 데이터 공개한다",http://www.ftoday.co.kr/news/articleView.html?idxno=246440,파이낸셜투데이,2022-12-14
"""멀티 클라우드 본격화…인프라·보안 등 기술적 대비 필수""",http://www.datanet.co.kr/news/articleView.html?idxno=179218,데이터넷,2022-12-14
7월 콜택시 마비사태 주범은? 랜섬웨어 ‘매스스캔’,https://www.ddaily.co.kr/news/article.html?no=253334,디지털데일리,2022-12-14
"델 테크놀로지스, 2023 IT 기술 전망 발표",http://www.itdaily.kr/news/articleView.html?idxno=211750,아이티데일리,2022-12-14
클라우드·제로트러스트·양자기술 등...2023 IT-보안 기술 전망,https://www.dailysecu.com/news/articleView.html?idxno=142085,데일리시큐,2022-12-14
"금융보안원, 금융권 랜섬웨어 대응 위한 'Masscan 랜섬웨어 위협 분석...",https://www.dailysecu.com/news/articleView.html?idxno=142082,데일리시큐,2022-12-14
"""보안 취약한 DB 서버 노리는 '매스스캔' 주의""",http://www.datanet.co.kr/news/articleView.html?idxno=179217,데이터넷,2022-12-14
"결혼정보회사 듀오, 자사 회원 수 성혼회원 수 투명하게 공개",http://www.globalepic.co.kr/view.php?ud=2022121309515733067114f971d_29,글로벌에픽,2022-12-14
"'글로벌 사냥' 나선 네이버클라우드…""싱가포르 찍고 '아·태 톱 3' 간다""",http://www.newsis.com/view/?id=NISX20221214_0002122867&cID=13005&pID=13100,뉴시스,2022-12-14
"계명대, LINC3.0 오픈캠퍼스 열어",http://www.kbsm.net/news/view.php?idx=374315,경북신문,2022-12-14
증권사 파생결합사채 발행 폭증…왜,http://www.newsis.com/view/?id=NISX20221214_0002122877&cID=10401&pID=10400,뉴시스,2022-12-14
"메일플러그 기업메일, 무제한 용량 그룹웨어 출시",https://www.news1.kr/articles/4894355,뉴스1,2022-12-14
"실적 개선한 이승열 하나생명 사장, 하나은행장으로 자리 옮겨",http://www.fntimes.com/html/view.php?ud=2022121413001746930cdf61373a_18,한국금융신문,2022-12-14
"아피로, AWS 마켓플레이스에 클라우드 애플리케이션 보안 플랫폼 추가",https://www.codingworldnews.com/news/articleView.html?idxno=13980,코딩월드뉴스,2022-12-14
"델 테크놀로지스, ¨2023년 새로운 기술에 대비하는 한 해 될 것¨",http://www.betanews.net:8080/article/1378961.html,베타뉴스,2022-12-14
"델 테크놀로지스, 2023 IT 기술 전망 발표 ""본격적인 멀티 클라우드 미래 열린...",https://www.ciokorea.com/news/269265,CIO Korea,2022-12-14
[라이센스 식음료 PICK] 굽네·대상㈜·롯데제과·메가엠지씨커피·BBQ 그룹,http://www.lcnews.co.kr/news/articleView.html?idxno=41758,라이센스뉴스,2022-12-14
"바이비트, 머클 트리 준비금 공개로 사용자 자산 보유 검증",https://www.khgames.co.kr/news/articleView.html?idxno=206843,경향게임스,2022-12-14
"[토큰포스트 오후 브리핑] FTX 미국 고객, 돈 돌려받을 가능성 더 커 外",https://www.tokenpost.kr/article-116030,토큰포스트,2022-12-14
[시민기자 북클럽] '탈서울' 해낸 이 분을 선배님이라 부르고 싶습니다,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002887136&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,오마이뉴스,2022-12-14
"메일플러그, 업무 효율 극대화하는 무제한 용량 그룹웨어 출시",https://www.mk.co.kr/article/10567764,매일경제,2022-12-14
전국 콜택시 마비 대란 일으킨 ‘Masscan’ 랜섬웨어는 누구?,http://www.boannews.com/media/view.asp?idx=112542&kind=,보안뉴스,2022-12-14
"머스크의 트위터, 미래 불투명...로이터, ""트위터 사용자 감소 매출 정체 우려...",https://www.ddaily.co.kr/news/article.html?no=253288,디지털데일리,2022-12-14
"[유통산책] 코오롱FnC 한정애 CSO, 코리아패션대상서 대통령 표창 수상 外",http://www.g-enews.com/ko-kr/news/article/news_all/202212141027469679b168f77814_1/article.html,글로벌이코노믹,2022-12-14
"메일플러그, 무제한 용량 그룹웨어 출시…10계정 이하 50% 할인",http://www.goodkyung.com/news/articleView.html?idxno=195392,굿모닝경제,2022-12-14
"델테크놀로지스 ""내년엔 새로운 기술 도전 과제에 대비해야""",http://www.it-b.co.kr/news/articleView.html?idxno=64843,아이티비즈,2022-12-14
"[단독] 라인·야후재팬·페이페이 통합 마일리지, 내년 3월 개시…Z홀딩스 시...",https://www.theguru.co.kr/news/article.html?no=46708,더구루,2022-12-14
"변곡점에 도달한 AI, 양자기술 활용 본격화...델 테크놀로지스, 2023 IT 기술...",https://www.aitimes.kr/news/articleView.html?idxno=26800,인공지능신문,2022-12-14
금융권 랜섬웨어 대응을 위한 'Masscan 랜섬웨어 위협 분석' 발간,http://www.cctvnews.co.kr/news/articleView.html?idxno=234198,CCTV뉴스,2022-12-14
"육군 훈련병, SNS에 근황 사진 올려…부대 측 ""교육·관리감독 강화하겠다""",http://www.kdfnews.com/news/articleView.html?idxno=101606,한국면세뉴스,2022-12-14
"머스크 때문에...“트위터, 내년부터 사용자 줄고 매출 정체될 것”",https://biz.chosun.com/international/international_economy/2022/12/14/CP7FJ7BDY5HIPNZXQPLZ3SC6EU/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈,2022-12-14
"듀오, 자사 회원 수 및 성혼회원 수 공개",http://www.thepowernews.co.kr/view.php?ud=20221213095110788667114f971d_7,더파워,2022-12-14
머스크의 ‘트위터’ 앞으로 2년간 장사 안 되는 이유,http://www.munhwa.com/news/view.html?no=2022121401039909018002,문화일보,2022-12-14
"코미디쇼 깜짝 등장 머스크…관객들 '야유'에 ""처음 겪는일""",https://www.sedaily.com/NewsView/26EWDUOZOQ,서울경제,2022-12-14
[현장에서] 마약 취급받던 게임...문화예술로 인정받기까지,https://www.ajunews.com/view/20221214074509773,아주경제,2022-12-14
트위터 3200만명 이탈에 깃발 꽂는 메타…활기 띈 SNS업계 [정혜진의 Whynot ...,https://www.sedaily.com/NewsView/26EWDAQ6OP,서울경제,2022-12-14
"""머스크가 주인 된 트위터, 향후 2년 매출 정체될 것""",https://biz.sbs.co.kr/article_hub/20000093570?division=NAVER,SBS Biz언론사 선정,2022-12-14
"[글로벌 비즈 브리핑] 바이낸스, USDC 인출 중단·""트위터 내년 내리막"" 外",https://biz.sbs.co.kr/article_hub/20000093563?division=NAVER,SBS Biz,2022-12-14
"“머스크의 트위터, 내년부터 사용자 줄고 2년간 매출 정체”",https://news.kbs.co.kr/news/view.do?ncd=5625535&ref=A,KBS,2022-12-14
"""트위터, 내년부터 이용자 감소 및 매출 정체""",https://biz.sbs.co.kr/article_hub/20000093555?division=NAVER,SBS Biz,2022-12-14
대형 엔터사도 뛰어들었다… ‘가상 인간’ 스타 만들기 열풍,https://www.chosun.com/culture-life/culture_general/2022/12/14/BXY7XC7OWJGJBGE67R7Y5B4GKY/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,조선일보,2022-12-14
"""머스크의 트위터, 내년부터 사용자 줄고 2년간 매출 정체""",https://www.yna.co.kr/view/AKR20221214005300075?input=1195m,연합뉴스,2022-12-14
"'한정민♥' 조예영, 쇼호스트 활동 본격 앞두고 관리하나…펑퍼짐한 차림의 산...",https://tenasia.hankyung.com/topic/article/2022121325124,텐아시아,2022-12-13
"'저축성 중심' 동양생명, 계약해지 증가에 유동성 '비상'...자본적정성 우려↑",http://www.wikileaks-kr.org/news/articleView.html?idxno=133366,위키리크스한국,2022-12-13
"""거래소 파산 절차에서 가상자산이전청구권의 법적 성격은 '채권적 청구권'에...",https://www.lawtimes.co.kr/Legal-News/Legal-News-View?serial=183801,법률신문,2022-12-13
"[아!이뉴스] 구현모 KT, CEO 경선 제안…인스타그램 홀린 '갓생'",http://www.inews24.com/view/1548460,아이뉴스24,2022-12-13
"중국, 워터마크 없는 AI 생성 이미지 금지",http://www.aitimes.com/news/articleView.html?idxno=148406,AI타임스,2022-12-13
"긴장감 도는 연말 퇴직연금 시장…금융당국, 경고 던진 이유는",http://www.greened.kr/news/articleView.html?idxno=299493,녹색경제신문,2022-12-13
"""제주도체육회장 깜깜이 선거 우려…상대후보 불참 지적""",https://www.gukjenews.com/news/articleView.html?idxno=2613197,국제뉴스,2022-12-13
'주52시간·호봉제' 손질 띄운 尹 대통령…노동시장 개혁 속도 낼까,https://www.news1.kr/articles/4893295,뉴스1,2022-12-13
"모습도 취향도 닮은 그들, LCK 대표 덕후 '베릴 x 강퀴'와의 만남",https://www.gamechosun.co.kr/webzine/article/view.php?no=191366,게임조선,2022-12-13
"중국 정부, AI로 생성한 반국가적·야한 그림 금지한다",https://www.gamemeca.com/mv.php?inflow=naver_s&gid=1690650,게임메카,2022-12-13
"‘퇴직연금 대이동’ 고비 맞은 보험사, 유동성 관리 난항",https://www.khan.co.kr/economy/finance/article/202212131624001,경향신문,2022-12-13
﻿바이낸스 루머 확산…자금 빼내라는 조언도,http://www.coindeskkorea.com/news/articleView.html?idxno=82543,코인데스크코리아,2022-12-13
"글로벌 칼럼 | 애플의 성공 비법 ‘보안’, 아직 2% 부족하다",https://www.itworld.co.kr/news/269139,ITWorld,2022-12-13
[2022 금융권 핫이슈] 부동산PF발 채권위기...찬바람 부는 증권업계,http://www.finomy.com/news/articleView.html?idxno=121998,현대경제신문,2022-12-13
"포바이포, 버추얼 휴먼 사업 본격화…롯데홈쇼핑과 '루시' 라이브커머스 진행",https://www.ajunews.com/view/20221213154213487,아주경제,2022-12-13
"""팬심은 이런 것…"" BTS 진과 약속 지킨 아미[종합]",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12106945,JTBC,2022-12-13
(영상)JP모건 “지금이 ‘먼데이닷컴’ 매수 최적기”...이유보니,http://www.edaily.co.kr/news/newspath.asp?newsid=02489526632558192,이데일리,2022-12-13
"그레이브릿지, NFT마켓 1주년 '메리 비블록데이' 진행",http://www.segyebiz.com/newsView/20221213511494?OutUrl=naver,세계비즈,2022-12-13
"이란, 반정부 시위 남성 두 번째 사형 집행",http://www.g-enews.com/ko-kr/news/article/news_all/202212131502173914e8b8a793f7_1/article.html,글로벌이코노믹,2022-12-13
"결혼정보회사 듀오, 자사 회원 수·성혼회원 수 공개",http://www.beyondpost.co.kr/view.php?ud=20221212111351327567114f971d_30,비욘드포스트,2022-12-13
"中 공산당, 반정부 시위에 SNS ‘좋아요’ ‘댓글’ 규제 강화",https://www.christiantoday.co.kr/news/351592,크리스천투데이,2022-12-13
"포바이포, 롯데홈쇼핑과 가상인간 '루시' 첫 라이브 커머스 진행",http://news.mt.co.kr/mtview.php?no=2022121312305248927,머니투데이,2022-12-13
"스플렁크, 2023년 트렌드와 기술 융합이 향후 비즈니스 회복탄력성에 ...",https://www.dailysecu.com/news/articleView.html?idxno=142043,데일리시큐,2022-12-13
"토트넘 콘테 감독, 'PK 실축' 케인과 휴가 후 직접 면담 추진",http://www.stoo.com/article.php?aid=84301847609,스포츠투데이,2022-12-13
"'딥페이크' 범죄에 규제 나선 중국…""당사자 동의 구해야""",https://news.sbs.co.kr/news/endPage.do?news_id=N1007005548&plink=ORI&cooper=NAVER,SBS,2022-12-13
"중국 '딥페이크' 규제 내달 10일 발효…""범죄 행위 방지""",https://www.yna.co.kr/view/AKR20221213084000074?input=1195m,연합뉴스,2022-12-13
"포바이포, 버추얼 휴먼 사업 본격화, 롯데홈쇼핑과 가상인간 '루시'로 라이브...",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202212130201&t=NN,한국경제TV,2022-12-13
[ICT 소식] 네이버·NHN·콘진원 外,https://www.asiatime.co.kr/article/20221213500197,아시아타임즈,2022-12-13
올해 인스타 트렌드는 '자기계발'…해시태그 '공부·운동',http://www.g-enews.com/ko-kr/news/article/news_all/202212131156231059c5fa75ef86_1/article.html,글로벌이코노믹,2022-12-13
"[초점] 머스크 '앞에선 표현의 자유, 뒤에선 탄압' 논란",http://www.g-enews.com/ko-kr/news/article/news_all/2022121311012031539a1f309431_1/article.html,글로벌이코노믹,2022-12-13
"그레이브릿지, NFT마켓 1주년 '메리 비블록데이'… ""NFT 순기능 안착하길""",http://www.cbci.co.kr/news/articleView.html?idxno=436079,CBC뉴스,2022-12-13
"[데일리 IT 단신] KT, ‘원밀리언 홈댄스 AI 코칭 튜토리얼’ 선봬 外",https://biz.newdaily.co.kr/site/data/html/2022/12/13/2022121300093.html,뉴데일리,2022-12-13
"포바이포, 롯데홈쇼핑과 가상인간 '루시'로 라이브커머스 진행",http://www.edaily.co.kr/news/newspath.asp?newsid=02033606632558192,이데일리,2022-12-13
"제일약품, 5년간 ‘회의비’ 584억원…코로나19때도 연 100억원 초과 '논란'",http://www.thebigdata.co.kr/view.php?ud=202212131108576423d0a8833aad_23,빅데이터뉴스,2022-12-13
"홈쇼핑 판매 나서는 가상 인간 '루시'...포바이포, 버추얼 휴먼 사업 본격화",https://www.techm.kr/news/articleView.html?idxno=104722,테크M,2022-12-13
"중국, AI 저작 콘텐츠 ""사전 검열할 것…"" 논란",http://www.digitaltoday.co.kr/news/articleView.html?idxno=466595,디지털투데이,2022-12-13
"미국 중간선거 이후 미국 정치, 가시지 않은 동맹들의 의구심",http://www.m-economynews.com/news/article.html?no=35969,M이코노미,2022-12-13
"포바이포·롯데홈쇼핑 '맞손'…""가상인간 ‘루시’로 라이브커머스""",http://www.sentv.co.kr/news/view/639832,서울경제TV,2022-12-13
"결혼정보회사 듀오, 회원 수 및 성혼회원 수 투명하게 공개",http://www.kihoilbo.co.kr/news/articleView.html?idxno=1007941,기호일보,2022-12-13
"[사실은] ""文 정부 때는 평균 5조 감액"" 사실은?",https://news.sbs.co.kr/news/endPage.do?news_id=N1007004442&plink=ORI&cooper=NAVER,SBS,2022-12-13
코미디쇼 오른 머스크에게 야유 쏟아진 다음날 테슬라 주가 '나홀로' 6.27% 폭...,https://weekly.cnbnews.com/news/article.html?no=147351,CNB저널(문화경제),2022-12-13
"[IT이슈] 그레이브릿지(비블록), NFT마켓 1주년 특별 프로모션 실시 外",http://www.lawissue.co.kr/view.php?ud=202212130949587901204ead0791_12,로이슈,2022-12-13
"포바이포, 롯데홈쇼핑과 가상인간 ‘루시’로 라이브커머스 개시...버추얼 휴...",https://www.mk.co.kr/article/10565993,매일경제,2022-12-13
"""메리 비블록데이""… 그레이브릿지, NFT마켓 1주년 특별 프로모션 실시",http://sports.khan.co.kr/news/sk_index.html?art_id=202212130933013&sec_id=561101&pt=nv,스포츠경향,2022-12-13
'자본잠식' 보험사 우려는 기우…금산법 적용의 모순,http://news.einfomax.co.kr/news/articleView.html?idxno=4246240,연합인포맥스,2022-12-13
"머스크, 코미디쇼 출연했다 관객 야유…""처음 겪은 일""",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00008&news_seq_no=4886545,MBN언론사 선정,2022-12-13
"그레이브릿지, NFT마켓 1주년 특별 프로모션 실시",http://www.m-i.kr/news/articleView.html?idxno=971521,매일일보,2022-12-13
"한국콘텐츠진흥원, 취업지원프로그램 본격 가동",https://www.mk.co.kr/article/10565305,매일경제,2022-12-13
"코미디쇼 오르자 야유 쏟아졌는데…머스크 ""90%는 환호였다""",https://www.joongang.co.kr/article/25125286,중앙일보,2022-12-13
"포바이포-롯데홈쇼핑, 버추얼 휴먼 '루시' 첫 라이브커머스 진행...인공지능 ...",https://www.aitimes.kr/news/articleView.html?idxno=26783,인공지능신문,2022-12-13
"""현실에서는 처음""…코미디쇼에서 야유 받은 머스크",http://news.heraldcorp.com/view.php?ud=20221213000066,헤럴드경제,2022-12-13
관객들은 야유 보냈는데 환호라니…황당글 올린 머스크,https://www.mk.co.kr/article/10565784,매일경제언론사 선정,2022-12-13
"""예쁜 가상인간보다 소통이 잘되는 가상인간이 필요하다""[긱스]",https://www.hankyung.com/it/article/202212084058i,한국경제,2022-12-13
"민주당, 사죄 대신 뒤늦은 '전주을 재선' 포기...'책임정치' 가면 쓰고 '무공...",http://www.jbsori.com/news/articleView.html?idxno=10208,전북의소리,2022-12-13
"머스크, 코미디쇼 출연했다 '야유 세례' 받은 이유",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202212130028&t=NN,한국경제TV언론사 선정,2022-12-13
"머스크, 코미디쇼 무대 올랐다가 '야유 세례'…""처음 겪는 일""",https://www.hankyung.com/international/article/2022121313927,한국경제언론사 선정,2022-12-13
"코미디쇼 무대 오른 머스크, 관람객 '야유 세례' 받아",https://www.yna.co.kr/view/AKR20221213015000075?input=1195m,연합뉴스,2022-12-13
[오늘의 채권ㆍ외환 메모](12월13일),http://news.einfomax.co.kr/news/articleView.html?idxno=4246202,연합인포맥스,2022-12-13
"카카오, '포상금 최대 1000만원' 버그바운티 운영한다",https://isplus.com/2022/12/13/life/economy/20221213070004397.html,일간스포츠,2022-12-13
[글로벌 브리핑] ‘트위터 인수’ 일론 머스크 애플에 선전포고 “애플이 트위...,https://biz.chosun.com/international/international_general/2022/12/13/6ONTKV2UUNC5ZPZ5XU6KRGAN5I/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈언론사 선정,2022-12-13
"'돈나무 언니' 캐시 우드, 테슬라·줌 폭락에 투자자 신뢰 상실",http://www.fnnews.com/news/202212130441191347,파이낸셜뉴스언론사 선정,2022-12-13
[직설] 도려낼 건 쪼개진 자본이다,https://www.khan.co.kr/opinion/column/article/202212130300085,경향신문,2022-12-13
"[인터뷰] 성경식 인포빕 지사장 ""MZ세대 고객, 소셜 채널 통해 잡아야""",https://www.ajunews.com/view/20221212131929466,아주경제,2022-12-13
"식약처-마퇴본부 합동 점검… 온라인 마약류 판매 게시글 7,887건 적발",http://medicalworldnews.co.kr/news/view.php?idx=1510953128,메디컬월드뉴스,2022-12-12
